tag_produtos_id;destacado;texto_display;tipo
5f60f44b65238f2ce580f49a;false;Pêssego;FLAVOUR
5f60f46b65238f2ce580f49b;false;Ameixa;FLAVOUR
5f60f47a65238f2ce580f49c;false;Amendoim;FLAVOUR
5f60f48f65238f2ce580f49d;false;Damasco;FLAVOUR
5f60f49865238f2ce580f49e;false;Suspiro;FLAVOUR
5f60f49d65238f2ce580f49f;false;Paçoca;FLAVOUR
5f60f4a865238f2ce580f4a0;false;Chantilly;FLAVOUR
5f635f0e3c03c7cef27a4d02;false;Cream Cheese;FLAVOUR
5f635f253c03c7cef27a4d03;false;Creme de Avelã;FLAVOUR
5f64b451980a9b1006694d36;false;Goiabada;FLAVOUR
5f6a668b1b549e6bc9f3357f;false;Pudins;TYPE
5f6a66b71b549e6bc9f33580;false;Cravo;FLAVOUR
5f6a66da1b549e6bc9f33581;false;Canela;FLAVOUR
5f6a66f41b549e6bc9f33582;false;Ganache;FLAVOUR
5f6a67181b549e6bc9f33583;false;Buttercream;FLAVOUR
5f6a76f89bec356fc2b48fc9;false;Cereja Amarena;FLAVOUR
5f6a77429bec356fc2b48fca;false;Pistache;FLAVOUR
5f73d5385501c98df4d1b2d6;false;Casamento;MOMENT
5f73d5e05501c98df4d1b2d7;false;Outback™;MOMENT
5f7b59a3eec72d1fa3d2e2a5;false;Halloween;MOMENT
5f89b71aa3940196736a600b;false;Nescafé;MOMENT
5f89b7aaa3940196736a600c;false;Amora;FLAVOUR
5f89b7b0a3940196736a600d;false;Abóbora;FLAVOUR
5f89b7c2a3940196736a600e;false;Uva;FLAVOUR
5f89b7caa3940196736a600f;false;Kiwi;FLAVOUR
5f89b7dda3940196736a6010;false;Frutas Vermelhas;FLAVOUR
5fa171588fd4e053d1557852;false;Black Friday;MOMENT
5fbe7292bb12608465252dd1;false;Natal;MOMENT
5fce28e7e61e0fa928fab71a;false;Frete Grátis;MOMENT
5fce858ecb8116c23b718a47;false;Champanhe;FLAVOUR
5fce859ccb8116c23b718a48;false;Vinho;FLAVOUR
5fce85b0cb8116c23b718a49;false;Matcha;FLAVOUR
5fe0be8f317e690c6801ac93;false;4 Leites;FLAVOUR
5fe3a3359216fb516704ef9e;false;Fit;MOMENT
600875afb08ac81762b66e24;false;Pão Doce;TYPE
60181ac2748a9a0f9365fd63;false;Receitas Nestlé;MOMENT
602c0e8bca7ad914d28e4564;false;Caramelo Salgado;FLAVOUR
602ff06aecfa8e1acafe4360;false;2021 Páscoa;MOMENT
60462b879ae55a16bde0d73f;false;Ovos de Páscoa;TYPE
604f9b687ae5ec35c65e5578;true;Produtos Pet;TYPE
604f9ba07ae5ec35c65e5579;false;Gianduia;FLAVOUR
604f9bda7ae5ec35c65e557a;false;Dragê;FLAVOUR
604f9bf57ae5ec35c65e557b;false;Blueberry;FLAVOUR
604f9c057ae5ec35c65e557c;false;Capim Santo;FLAVOUR
6051f50f79164a062f9ee393;false;Marshmallow;FLAVOUR
606f5c7ff1a5b337e0712888;false;Certificadas por VdB;MOMENT
60745616d13c1516e183d9e0;true;Bolos de Pote;TYPE
607456b1d13c1516e183d9e1;true;Fatias;TYPE
607456e5d13c1516e183d9e2;false;Outros;TYPE
607461da45f92520120e030d;false;Dia das Mães;MOMENT
6086d85e652aec23bb5b5bdf;false;Menta;FLAVOUR
60ad52dc3483623eb79dfc92;true;Promoções;MOMENT
60b990f09b63630d50b6e941;false;Festa Junina;MOMENT
60d8c4325974f90af80ffb58;false;Rapadura;FLAVOUR
60d8c4445974f90af80ffb59;false;Castanha de caju;FLAVOUR
60fb00433491cdcb9a66b793;false;Dia dos Pais;MOMENT
611c3154c480febf85c95192;false;Casa Vem de Bolo;MOMENT
61740d4377d7c8790188e35a;true;Bentô Cake;TYPE
